Figure 1 - Taux de chômage en 2022,,,,,,,
,,,,,,,en %
Région,15-24 ans,25-49 ans,50 ans ou plus,Femmes,Hommes,Ensemble,Évolution 2022/2021
,,,,,,,
Auvergne-Rhône-Alpes,14.2,5.7,4.4,6.2,6.3,6.3,-0.6
Bourgogne-Franche-Comté,15.5,5.6,4.3,6.1,6.5,6.3,-0.4
Bretagne,14.0,5.2,4.1,5.6,6.0,5.8,-0.6
Centre-Val de Loire,17.2,6.0,4.6,6.6,7.0,6.8,-0.3
Corse,18.1,5.6,4.2,6.6,5.7,6.1,-0.7
Grand Est,17.1,6.3,5.1,6.9,7.3,7.1,-0.6
Hauts-de-France,22.7,7.5,5.9,8.6,9.1,8.8,-0.6
Île-de-France,14.4,6.3,5.6,6.7,7.1,6.9,-0.6
Normandie,17.4,6.0,4.5,6.6,7.1,6.9,-0.6
Nouvelle-Aquitaine,16.4,5.9,4.4,6.4,6.6,6.5,-0.6
Occitanie,22.1,7.8,5.9,8.5,8.9,8.7,-0.6
Pays de la Loire,14.4,5.1,4.0,5.8,6.0,5.9,-0.6
Provence-Alpes-Côte d'Azur,19.5,7.6,5.7,8.0,8.3,8.2,-0.7
Guadeloupe,37.8,19.9,13.3,19.7,17.4,18.6,1.4
Martinique,38.7,13.7,7.1,12.7,12.2,12.5,-0.4
Guyane,35.0,11.8,8.6,14.6,11.6,13.1,-1.4
La Réunion,41.9,16.2,13.5,16.2,19.8,18.1,0.1
France métropolitaine,16.9,6.4,5.0,6.9,7.3,7.1,-0.6
France hors Mayotte,17.3,6.6,5.2,7.1,7.5,7.3,-0.6
"Lecture : en 2022, le taux de chômage en Auvergne-Rhône-Alpes est de 6,3 %, soit 0,6 point de moins qu'en 2021. ",,,,,,,
Champ : France hors Mayotte.,,,,,,,
"Source : Insee, taux de chômage localisés.",,,,,,,
